"ID"	"Surname"	"Given"	"IntlWW40"	"IntlWW50"	"IntlWW60"
"ICUS0001"	"Aalami"	"Bijan"	NA	NA	NA
"ICUS0002"	"Abas"	"Syed Jan"	NA	NA	NA
"ICUS0003"	"Abe"	"Masao"	NA	NA	NA
"ICUS0004"	"Abel"	"Robert Berger"	NA	NA	NA
"ICUS0005"	"Abeles"	"Tom"	NA	NA	NA
"ICUS0006"	"Abidi"	"Syed"	NA	NA	NA
"ICUS0007"	"Abouegl"	"M.I."	NA	NA	NA
"ICUS0008"	"Accardi"	"Luigi"	NA	NA	NA
"ICUS0009"	"Achenbaum"	"W. Andrew"	NA	NA	NA
"ICUS0010"	"Achuthan"	"Radh"	NA	NA	NA
"ICUS0011"	"Ackoff"	"Russell L."	NA	NA	NA
"ICUS0012"	"Adadevoh"	"B. Kwaku"	NA	NA	NA
"ICUS0013"	"Adams"	"Raymond D."	NA	NA	NA
"ICUS0014"	"Aderele"	"C.O."	NA	NA	NA
"ICUS0015"	"Adjangba"	"Anoumou M."	NA	NA	NA
"ICUS0016"	"Adler"	"Cyrus"	NA	NA	NA
"ICUS0017"	"Adler"	"Howard"	NA	NA	NA
"ICUS0018"	"Adrian"	"Edgar Douglas"	"B1889-11-30"	NA	NA
"ICUS0019"	"Afghan"	"Naim"	NA	NA	NA
"ICUS0020"	"Afheldt"	"Horst"	NA	NA	NA
"ICUS0021"	"Agassi"	"Joseph"	NA	NA	NA
"ICUS0022"	"Agazzi"	"Evandro"	NA	NA	NA
"ICUS0023"	"Aguirre"	"Carlos"	NA	NA	NA
"ICUS0024"	"Ahlstrom"	"Sydney E."	NA	NA	NA
"ICUS0025"	"Ahmad"	"Anis"	NA	NA	NA
"ICUS0026"	"Ahmad"	"Israr"	NA	NA	NA
"ICUS0027"	"Ahmad"	"Khurshid"	NA	NA	NA
"ICUS0028"	"Ahmed"	"Ziadeen"	NA	NA	NA
"ICUS0029"	"Ahn"	"Byung Uk"	NA	NA	NA
"ICUS0030"	"Aida"	"Shuhei"	NA	NA	NA
"ICUS0031"	"Aijmer"	"Goran L."	NA	NA	NA
"ICUS0032"	"Ajayi"	"Jacob Festus Ade"	NA	NA	NA
"ICUS0033"	"Ajmal"	"Mohammad"	NA	NA	NA
"ICUS0034"	"Akamatsu"	"Norio"	NA	NA	NA
"ICUS0035"	"Aki"	"Koichi"	NA	NA	NA
"ICUS0036"	"Ákos"	"Károly"	NA	NA	NA
"ICUS0037"	"Al-Faruqi"	"Isma'il R."	NA	NA	NA
"ICUS0038"	"Alavi"	"Khalid"	NA	NA	NA
"ICUS0039"	"Albornoz"	"Orlando"	NA	NA	NA
"ICUS0040"	"Aleandri"	"G."	NA	NA	NA
"ICUS0041"	"Alexander"	"Benjamin Harold"	NA	NA	NA
"ICUS0042"	"Alexander"	"Gary"	NA	NA	NA
"ICUS0043"	"Alfian"	""	NA	NA	NA
"ICUS0044"	"Ali"	"M. Shamsher"	NA	NA	NA
"ICUS0045"	"Abou-Ali"	"Sultan"	NA	NA	NA
"ICUS0046"	"Ali"	"Syed Ausaf"	NA	NA	NA
"ICUS0047"	"Alippi"	"Adriano"	NA	NA	NA
"ICUS0048"	"Allegra"	"L."	NA	NA	NA
"ICUS0049"	"Allen"	"Robert"	NA	NA	NA
"ICUS0050"	"Allen"	"Wayne E."	NA	NA	NA
"ICUS0051"	"Allshouse"	"Merle F."	NA	NA	NA
"ICUS0052"	"Mashuq Ally"	"Muhammad"	NA	NA	NA
"ICUS0053"	"Al-Nowaihi"	"Mohamed"	NA	NA	NA
"ICUS0054"	"Alonso"	"Marcelo"	NA	NA	NA
"ICUS0055"	"Alpert"	"Seymour S."	NA	NA	NA
"ICUS0056"	"Alvarez"	"Alfred"	NA	NA	NA
"ICUS0057"	"Alvarino"	"Angeles"	NA	NA	NA
"ICUS0058"	"Alves"	"Rubern Azevedo"	NA	NA	NA
"ICUS0059"	"Amado"	"Adela"	NA	NA	NA
"ICUS0060"	"Amaldass"	"Anand"	NA	NA	NA
"ICUS0061"	"Amaya"	"Victor"	NA	NA	NA
"ICUS0062"	"Ambrus"	"Julian L."	NA	NA	NA
"ICUS0063"	"Amin-Arsala"	"Betsy"	NA	NA	NA
"ICUS0064"	"Amon d'Aby"	"François Joseph"	NA	NA	NA
"ICUS0065"	"An"	"Byung-chul"	NA	NA	NA
"ICUS0066"	"Ananda"	"W."	NA	NA	NA
"ICUS0067"	"Anantharaman"	"Tanjore R."	NA	NA	NA
"ICUS0068"	"Anderson"	"Gordon L."	NA	NA	NA
"ICUS0069"	"Andersson"	"Gunnar"	NA	NA	NA
"ICUS0070"	"Anderson"	"Orvil Roger"	NA	NA	NA
"ICUS0071"	"Ando"	"Nisuke"	NA	NA	NA
"ICUS0072"	"Andreski"	"Stanislav"	NA	NA	NA
"ICUS0073"	"Ang"	"Edwin"	NA	NA	NA
"ICUS0074"	"Angst"	"Walter"	NA	NA	NA
"ICUS0075"	"Ansre"	"Gilbert"	NA	NA	NA
